,CustomerID,Recency,Frequency,Monetary,R-Score,F-Score,M-Score,RFMScore,LoyaltyLevel,Cluster_ID
4,12820,2,59,942,1,2,2,5,Platinum,1
5,12821,213,6,93,4,4,4,12,Bronze,0
6,12822,70,46,949,3,2,2,7,Gold,1
7,12823,74,5,1760,3,4,1,8,Silver,0
8,12824,59,25,397,3,3,3,9,Silver,0
9,12826,2,91,1475,1,1,1,3,Platinum,1
10,12827,5,25,430,1,3,3,7,Gold,1
11,12828,2,56,1019,1,2,2,5,Platinum,1
14,12831,261,9,215,4,4,4,12,Bronze,0
15,12832,31,27,383,2,3,3,8,Silver,0
16,12833,144,24,417,3,3,3,9,Silver,0
17,12834,282,18,312,4,3,3,10,Bronze,0
18,12836,58,175,2613,2,1,1,4,Platinum,1
19,12837,172,12,134,4,4,4,12,Bronze,0
20,12838,33,123,683,2,1,2,5,Platinum,1
22,12840,143,113,2727,3,1,1,5,Platinum,1
24,12842,69,34,1119,3,2,1,6,Gold,1
25,12843,65,103,1702,3,1,1,5,Platinum,1
26,12844,28,52,326,2,2,3,7,Gold,1
27,12845,266,27,354,4,3,3,10,Bronze,0
28,12847,21,91,872,1,1,2,4,Platinum,1
29,12849,30,51,1051,2,2,1,5,Platinum,1
30,12851,96,50,135,3,2,4,9,Silver,0
31,12852,294,17,312,4,3,3,10,Bronze,0
32,12853,134,78,1957,3,1,1,5,Platinum,1
33,12854,78,110,1324,3,1,1,5,Platinum,1
36,12857,210,46,1106,4,2,1,7,Gold,1
37,12863,51,5,521,2,4,3,9,Silver,0
38,12864,137,3,147,3,4,4,11,Bronze,0
40,12868,185,107,1607,4,1,1,6,Gold,1
41,12871,83,11,381,3,4,3,10,Bronze,0
42,12872,326,66,600,4,2,2,8,Silver,0
43,12873,281,4,374,4,4,3,11,Bronze,0
44,12875,142,2,343,3,4,3,10,Bronze,0
45,12877,3,154,1536,1,1,1,3,Platinum,1
46,12878,235,47,855,4,2,2,8,Silver,0
47,12879,44,10,573,2,4,2,8,Silver,0
48,12881,275,7,298,4,4,3,11,Bronze,0
49,12882,8,13,1463,1,4,1,6,Gold,1
50,12883,24,42,703,2,2,2,6,Gold,1
51,12884,87,7,309,3,4,3,10,Bronze,0
52,12885,62,71,1175,3,1,1,5,Platinum,1
53,12886,67,82,1378,3,1,1,5,Platinum,1
54,12888,213,5,354,4,4,3,11,Bronze,0
55,12890,23,82,380,2,1,3,6,Gold,1
56,12891,185,3,331,4,4,3,11,Bronze,0
57,12893,30,34,188,2,2,4,8,Silver,0
58,12895,41,22,373,2,3,3,8,Silver,0
59,12897,204,4,216,4,4,4,12,Bronze,0
61,12902,264,10,139,4,4,4,12,Bronze,0
62,12904,17,72,510,1,1,3,5,Platinum,1
64,12908,175,2,750,4,4,2,10,Bronze,0
65,12909,39,91,2179,2,1,1,4,Platinum,1
67,12912,2,24,1662,1,3,1,5,Platinum,1
68,12913,4,50,2484,1,2,1,4,Platinum,1
69,12915,148,22,364,3,3,3,9,Silver,0
71,12917,127,2,594,3,4,2,9,Silver,0
72,12919,7,50,1335,1,2,1,4,Platinum,1
73,12920,16,28,164,1,3,4,8,Silver,0
75,12922,160,28,405,4,3,3,10,Bronze,0
76,12923,63,29,177,3,3,4,10,Bronze,0
77,12924,87,30,934,3,3,2,8,Silver,1
78,12925,4,45,694,1,2,2,5,Platinum,1
79,12928,34,84,2063,2,1,1,4,Platinum,1
80,12929,311,8,118,4,4,4,12,Bronze,0
81,12930,77,25,416,3,3,3,9,Silver,0
83,12933,23,106,608,2,1,2,5,Platinum,1
84,12935,1,129,2161,1,1,1,3,Platinum,1
85,12936,16,62,1064,1,2,1,4,Platinum,1
86,12937,14,120,1504,1,1,1,3,Platinum,1
87,12938,25,9,114,2,4,4,10,Bronze,0
89,12940,54,99,914,2,1,2,5,Platinum,1
90,12942,130,75,684,3,1,2,6,Gold,1
91,12944,35,30,605,2,3,2,7,Gold,1
92,12945,287,23,463,4,3,3,10,Bronze,0
93,12947,143,97,1604,3,1,1,5,Platinum,1
94,12948,15,116,2065,1,1,1,3,Platinum,1
96,12950,1,23,1843,1,3,1,5,Platinum,1
97,12951,8,63,1064,1,2,1,4,Platinum,1
98,12952,5,79,1388,1,1,1,3,Platinum,1
99,12953,9,17,330,1,3,3,7,Gold,0
101,12956,305,19,108,4,3,4,11,Bronze,0
103,12962,6,16,266,1,3,4,8,Silver,0
104,12963,7,95,1857,1,1,1,3,Platinum,1
105,12965,88,109,772,3,1,2,6,Gold,1
106,12966,9,10,160,1,4,4,9,Silver,0
108,12968,111,5,136,3,4,4,11,Bronze,0
109,12970,6,151,452,1,1,3,5,Platinum,1
111,12974,197,8,145,4,4,4,12,Bronze,0
112,12976,211,22,739,4,3,2,9,Silver,0
113,12977,155,9,39,4,4,4,12,Bronze,0
115,12981,29,20,372,2,3,3,8,Silver,0
116,12982,242,28,391,4,3,3,10,Bronze,0
117,12984,18,4,98,1,4,4,9,Silver,0
118,12985,0,76,1239,1,1,1,3,Platinum,1
119,12987,73,28,559,3,3,2,8,Silver,0
120,12988,291,92,535,4,1,2,7,Gold,0
122,12990,30,13,410,2,4,3,9,Silver,0
123,12991,22,31,504,1,3,3,7,Gold,1
124,12993,22,27,415,1,3,3,7,Gold,1
125,12994,3,61,974,1,2,2,5,Platinum,1
126,12995,84,3,211,3,4,4,11,Bronze,0
127,12997,21,59,1227,1,2,1,4,Platinum,1
128,12999,195,28,456,4,3,3,10,Bronze,0
129,13000,106,31,535,3,3,2,8,Silver,0
131,13002,317,7,121,4,4,4,12,Bronze,0
132,13003,105,6,149,3,4,4,11,Bronze,0
134,13005,173,26,514,4,3,3,10,Bronze,0
135,13006,55,4,82,2,4,4,10,Bronze,0
136,13008,322,14,229,4,4,4,12,Bronze,0
138,13012,8,89,1662,1,1,1,3,Platinum,1
142,13016,72,47,790,3,2,2,7,Gold,1
143,13017,6,1,204,1,4,4,9,Silver,0
145,13021,3,131,2616,1,1,1,3,Platinum,1
146,13023,63,40,690,3,2,2,7,Gold,1
147,13026,0,40,975,1,2,2,5,Platinum,1
149,13028,22,45,661,1,2,2,5,Platinum,1
150,13029,30,10,1248,2,4,1,7,Gold,1
151,13030,10,99,799,1,1,2,4,Platinum,1
152,13032,51,71,1010,2,1,2,5,Platinum,1
154,13034,54,37,643,2,2,2,6,Gold,1
155,13035,73,27,922,3,3,2,8,Silver,1
156,13037,137,48,881,3,2,2,7,Gold,1
157,13038,79,28,908,3,3,2,8,Silver,1
158,13040,8,43,677,1,2,2,5,Platinum,1
159,13043,272,13,516,4,4,3,11,Bronze,0
160,13044,290,33,560,4,3,2,9,Silver,0
161,13045,98,18,305,3,3,3,9,Silver,0
162,13046,30,35,629,2,2,2,6,Gold,1
164,13048,13,136,1836,1,1,1,3,Platinum,1
165,13049,63,14,657,3,4,2,9,Silver,0
167,13052,211,18,348,4,3,3,10,Bronze,0
168,13055,77,76,1214,3,1,1,5,Platinum,1
169,13058,24,8,271,2,4,3,9,Silver,0
170,13059,249,8,183,4,4,4,12,Bronze,0
171,13060,253,15,308,4,4,3,11,Bronze,0
172,13061,71,10,249,3,4,4,11,Bronze,0
173,13062,190,11,347,4,4,3,11,Bronze,0
174,13064,12,69,1119,1,2,1,4,Platinum,1
176,13066,23,48,471,2,2,3,7,Gold,1
177,13067,81,15,115,3,4,4,11,Bronze,0
178,13068,9,2,344,1,4,3,8,Silver,0
180,13070,191,9,229,4,4,4,12,Bronze,0
181,13072,266,7,177,4,4,4,12,Bronze,0
182,13075,129,22,920,3,3,2,8,Silver,0
183,13077,0,112,729,1,1,2,4,Platinum,1
185,13079,3,6,220,1,4,4,9,Silver,0
186,13080,178,6,58,4,4,4,12,Bronze,0
189,13083,3,18,304,1,3,3,7,Gold,1
190,13085,157,22,416,4,3,3,10,Bronze,0
193,13091,27,21,346,2,3,3,8,Silver,0
194,13092,70,25,478,3,3,3,9,Silver,0
196,13094,20,24,1927,1,3,1,5,Platinum,1
197,13095,70,6,74,3,4,4,11,Bronze,0
200,13099,98,1,207,3,4,4,11,Bronze,0
201,13101,233,8,101,4,4,4,12,Bronze,0
203,13103,39,8,244,2,4,4,10,Bronze,0
204,13104,2,20,1098,1,3,1,5,Platinum,1
205,13106,132,1,76,3,4,4,11,Bronze,0
206,13107,43,58,1532,2,2,1,5,Platinum,1
208,13109,59,47,787,3,2,2,7,Gold,1
209,13110,30,145,1489,2,1,1,4,Platinum,1
211,13115,11,120,2295,1,1,1,3,Platinum,1
212,13116,137,30,501,3,3,3,9,Silver,0
213,13117,21,76,985,1,1,2,4,Platinum,1
214,13118,19,79,1198,1,1,1,3,Platinum,1
215,13120,238,1,31,4,4,4,12,Bronze,0
216,13121,268,50,284,4,2,3,9,Silver,0
217,13122,93,55,922,3,2,2,7,Gold,1
219,13126,4,140,2100,1,1,1,3,Platinum,1
220,13127,77,15,259,3,4,4,11,Bronze,0
221,13130,93,2,64,3,4,4,11,Bronze,0
222,13131,22,44,1073,1,2,1,4,Platinum,1
223,13132,261,3,77,4,4,4,12,Bronze,0
224,13133,273,7,110,4,4,4,12,Bronze,0
225,13134,85,98,1794,3,1,1,5,Platinum,1
227,13136,55,127,2608,2,1,1,4,Platinum,1
229,13138,21,63,962,1,2,2,5,Platinum,1
231,13140,107,46,424,3,2,3,8,Silver,0
232,13141,84,135,2389,3,1,1,5,Platinum,1
233,13142,18,23,307,1,3,3,7,Gold,0
235,13145,39,6,619,2,4,2,8,Silver,0
236,13146,25,17,229,2,3,4,9,Silver,0
237,13147,9,4,713,1,4,2,7,Gold,0
239,13149,13,86,1676,1,1,1,3,Platinum,1
240,13151,295,74,1258,4,1,1,6,Gold,1
241,13153,5,15,486,1,4,3,8,Silver,1
242,13155,32,85,972,2,1,2,5,Platinum,1
243,13157,48,87,1741,2,1,1,4,Platinum,1
244,13158,94,79,1201,3,1,1,5,Platinum,1
245,13159,8,121,1438,1,1,1,3,Platinum,1
246,13160,21,4,92,1,4,4,9,Silver,0
247,13161,312,8,113,4,4,4,12,Bronze,0
248,13162,121,79,1688,3,1,1,5,Platinum,1
249,13165,45,42,1021,2,2,2,6,Gold,1
250,13166,282,41,417,4,2,3,9,Silver,0
251,13167,18,65,791,1,2,2,5,Platinum,1
